"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
0.000000000E0,-1.588592529E-1,-1.800842285E-1,9.806793213E0,9.809732907E0
2.349853000E-3,-1.684112549E-1,-1.515197754E-1,9.802047729E0,9.804665231E0
4.730224000E-3,-1.540679932E-1,-1.562805176E-1,9.802047729E0,9.804504079E0
7.110595000E-3,-1.875457764E-1,-1.610412598E-1,9.744964600E0,9.748099443E0
9.490967000E-3,-1.540679932E-1,-1.848449707E-1,9.768737793E0,9.771701115E0
1.187133800E-2,-1.588592529E-1,-1.705627441E-1,9.783004761E0,9.785781014E0
1.425170900E-2,-1.684112549E-1,-2.086334229E-1,9.787780762E0,9.791452522E0
1.660156200E-2,-2.066650391E-1,-1.991119385E-1,9.787780762E0,9.791986940E0
1.898193300E-2,-2.066650391E-1,-2.038879395E-1,9.835327148E0,9.839610808E0
2.136230400E-2,-1.684112549E-1,-2.038879395E-1,9.840087891E0,9.843640705E0
2.374267500E-2,-1.923217773E-1,-1.896057129E-1,9.797286987E0,9.801008637E0
2.612304700E-2,-1.875457764E-1,-2.133941650E-1,9.806793213E0,9.810907379E0
2.850341800E-2,-1.827697754E-1,-1.943664551E-1,9.806793213E0,9.810421817E0
3.088378900E-2,-1.827697754E-1,-1.991119385E-1,9.787780762E0,9.791511762E0
3.323364200E-2,-1.779785156E-1,-1.943664551E-1,9.778244019E0,9.781794864E0
3.561401300E-2,-1.971130371E-1,-1.800842285E-1,9.825820923E0,9.829447629E0
3.799438400E-2,-1.923217773E-1,-1.848449707E-1,9.792526245E0,9.796158716E0
4.037475600E-2,-1.971130371E-1,-2.133941650E-1,9.778244019E0,9.782558290E0
4.275512700E-2,-2.066650391E-1,-1.991119385E-1,9.773498535E0,9.777710858E0
4.513549800E-2,-2.019042969E-1,-2.038879395E-1,9.830566406E0,9.834753251E0
4.751586900E-2,-2.066650391E-1,-1.943664551E-1,9.806793213E0,9.810896079E0
4.989624000E-2,-1.732025146E-1,-2.038879395E-1,9.787780762E0,9.791436138E0
5.227661100E-2,-2.019042969E-1,-1.705627441E-1,9.830566406E0,9.834118815E0
5.462646500E-2,-2.019042969E-1,-2.086334229E-1,9.806793213E0,9.811089969E0
