SUBSET_ID,COORDINATE_X,COORDINATE_Y,DISPLACEMENT_X,DISPLACEMENT_Y,SIGMA,GAMMA,BETA,STATUS_FLAG,UNCERTAINTY
0,1.3400E+002,2.6700E+002,3.2793E-001,1.1808E+000,4.3434E-002,9.5604E-002,0.0000E+000,4.0000E+000,5.5042E-002
1,1.3400E+002,2.6800E+002,2.4431E-001,1.1437E+000,4.5285E-002,1.0439E-001,0.0000E+000,4.0000E+000,5.8007E-002
2,1.3400E+002,2.6900E+002,2.4797E-001,1.1599E+000,4.6344E-002,9.9118E-002,0.0000E+000,4.0000E+000,5.9921E-002
3,1.3400E+002,2.7000E+002,3.0076E-001,1.1393E+000,4.3148E-002,1.2655E-001,0.0000E+000,4.0000E+000,5.6328E-002
4,1.3400E+002,2.7100E+002,2.5197E-001,1.1654E+000,4.0058E-002,9.3551E-002,0.0000E+000,4.0000E+000,5.2149E-002
5,1.3500E+002,2.7100E+002,3.5011E-001,1.1227E+000,3.7001E-002,1.4911E-001,0.0000E+000,4.0000E+000,4.7251E-002
6,1.3500E+002,2.7000E+002,4.1034E-001,1.1299E+000,3.9708E-002,1.8831E-001,0.0000E+000,4.0000E+000,5.0631E-002
7,1.3500E+002,2.6900E+002,3.4879E-001,1.1451E+000,4.2677E-002,1.4136E-001,0.0000E+000,4.0000E+000,5.3882E-002
8,1.3500E+002,2.6800E+002,3.7405E-001,1.1373E+000,4.1622E-002,1.4823E-001,0.0000E+000,4.0000E+000,5.2265E-002
9,1.3500E+002,2.6700E+002,4.8704E-001,1.1733E+000,4.0632E-002,1.3917E-001,0.0000E+000,4.0000E+000,5.0985E-002
10,1.3600E+002,2.6700E+002,8.5266E-001,1.1578E+000,4.5070E-002,1.9905E-001,0.0000E+000,4.0000E+000,5.8941E-002
11,1.3600E+002,2.6800E+002,6.9652E-001,1.1335E+000,4.5696E-002,2.1347E-001,0.0000E+000,4.0000E+000,5.7978E-002
12,1.3600E+002,2.6900E+002,6.1271E-001,1.1318E+000,4.7290E-002,2.0360E-001,0.0000E+000,4.0000E+000,5.9447E-002
13,1.3600E+002,2.7000E+002,7.0753E-001,1.1245E+000,4.4025E-002,2.7541E-001,0.0000E+000,4.0000E+000,5.6531E-002
14,1.3600E+002,2.7100E+002,6.0271E-001,1.0780E+000,4.1918E-002,2.2595E-001,0.0000E+000,4.0000E+000,5.3709E-002
15,1.3700E+002,2.7100E+002,9.6955E-001,1.1486E+000,5.1342E-002,2.3029E-001,0.0000E+000,4.0000E+000,6.9072E-002
16,1.3700E+002,2.7000E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
17,1.3700E+002,2.6900E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
18,1.3700E+002,2.6800E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
19,1.3700E+002,2.6700E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
20,1.3800E+002,2.6700E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
21,1.3800E+002,2.6800E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
22,1.3800E+002,2.6900E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
23,1.3800E+002,2.7000E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
24,1.3800E+002,2.7100E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
25,1.3900E+002,2.7100E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
26,1.3900E+002,2.7000E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
27,1.3900E+002,2.6900E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
28,1.3900E+002,2.6800E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
29,1.3900E+002,2.6700E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
30,1.4000E+002,2.6700E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
31,1.4000E+002,2.6800E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
32,1.4000E+002,2.6900E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
33,1.4000E+002,2.7000E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
34,1.4000E+002,2.7100E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
35,1.4100E+002,2.7100E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
36,1.4100E+002,2.7000E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
37,1.4100E+002,2.6900E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
38,1.4100E+002,2.6800E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
39,1.4100E+002,2.6700E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
40,1.4200E+002,2.6700E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
41,1.4200E+002,2.6800E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
42,1.4200E+002,2.6900E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
43,1.4200E+002,2.7000E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
44,1.4200E+002,2.7100E+002,3.0307E+000,9.9731E-001,3.6484E-002,1.5302E-001,0.0000E+000,4.0000E+000,6.2558E-002
45,1.4300E+002,2.7100E+002,2.4626E+000,1.1327E+000,3.4642E-002,1.2790E-001,0.0000E+000,4.0000E+000,5.7434E-002
46,1.4300E+002,2.7000E+002,2.4479E+000,1.0646E+000,2.9606E-002,1.6140E-001,0.0000E+000,4.0000E+000,5.2017E-002
47,1.4300E+002,2.6900E+002,2.5477E+000,1.0091E+000,3.1147E-002,1.2219E-001,0.0000E+000,4.0000E+000,5.9935E-002
48,1.4300E+002,2.6800E+002,0.0000E+000,0.0000E+000,-1.0000E+000,-1.0000E+000,-1.0000E+000,1.1000E+001,0.0000E+000
