"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.704895617E1,-1.738557220E-2,1.549495697E0,-3.320831954E-1
2.707367541E1,-4.892307520E-2,5.148172379E-1,-1.969210505E-1
2.709839465E1,-3.668448329E-2,-5.673217773E-1,-4.945373535E-2
2.712311389E1,-9.679476917E-2,-1.597079277E0,3.361483291E-2
2.714783313E1,-1.141055673E-1,-2.385126114E0,8.110322058E-2
2.717258288E1,-1.218882278E-1,-2.808738708E0,1.266555041E-1
2.719730212E1,-1.187409759E-1,-2.900107384E0,1.625982523E-1
2.722205188E1,-1.301255524E-1,-2.559949875E0,1.292890459E-1
2.724677112E1,-1.128909513E-1,-1.890994072E0,1.517347097E-1
2.727149035E1,-1.216601729E-1,-9.488296509E-1,4.317495227E-2
2.729620959E1,-3.524584696E-2,1.083850861E-1,-9.416371584E-3
2.732092883E1,9.444639087E-2,1.164989471E0,-9.336337447E-2
2.734564807E1,2.873311043E-1,2.059419632E0,-1.767491400E-1
2.737036731E1,4.234090745E-1,2.696483612E0,-1.334164143E-1
2.739508654E1,4.761209786E-1,2.921587944E0,-3.332510591E-2
2.741980578E1,4.137226045E-1,2.710786819E0,1.171749234E-1
2.744452502E1,2.687367499E-1,2.112982750E0,2.333543003E-1
2.746927478E1,1.288356483E-1,1.233891487E0,2.608768046E-1
2.749399402E1,4.426707327E-2,1.629695892E-1,2.110058814E-1
2.751871325E1,-5.539819598E-3,-8.712711334E-1,7.566997409E-2
2.754343249E1,3.187182546E-2,-1.786203384E0,3.228047490E-2
2.756815173E1,4.302424192E-2,-2.443307877E0,-1.154768467E-2
2.759287097E1,5.885875225E-2,-2.761549950E0,-1.398906112E-3
2.761762072E1,8.509496599E-2,-2.713087082E0,-3.502443433E-3
2.764233996E1,7.065922767E-2,-2.330842972E0,4.067319632E-2
2.766705920E1,5.815439671E-2,-1.615511894E0,1.241369992E-1
2.769180896E1,2.014361508E-2,-6.299076080E-1,1.685599387E-1
2.771652820E1,-3.074400127E-3,3.725929260E-1,1.774485260E-1
2.774124743E1,4.331579804E-2,1.372801781E0,3.764347732E-2
2.776596667E1,1.028216183E-1,2.162199974E0,-1.505427361E-1
2.779068591E1,1.723097861E-1,2.713171005E0,-3.276824951E-1
2.781543567E1,1.649303734E-1,2.753250122E0,-4.739333987E-1
2.784015490E1,1.086840928E-1,2.482990265E0,-3.362591267E-1
2.786487414E1,3.613013029E-2,1.876358032E0,-2.257078439E-1
2.788962390E1,-5.659976602E-2,9.742221832E-1,-5.023853108E-2
2.791434314E1,-1.752362549E-1,-3.399848938E-2,4.512014240E-2
2.793906237E1,-2.336778045E-1,-1.043976784E0,1.165206432E-1
2.796378161E1,-2.650856972E-1,-1.890293121E0,5.849345028E-2
2.798850085E1,-3.045227826E-1,-2.470315933E0,-6.679731607E-2
2.801322009E1,-2.508470416E-1,-2.710275650E0,-7.596528530E-2
2.803796985E1,-2.827743292E-1,-2.608634949E0,-1.815269142E-1
2.806268908E1,-2.865870893E-1,-2.131440163E0,-2.100700736E-1
2.808740832E1,-2.231916785E-1,-1.375392914E0,-2.349496484E-1
2.811212756E1,-1.584379077E-1,-3.816881180E-1,-2.174876034E-1
2.813684680E1,-4.631531239E-2,6.619758606E-1,-1.703138351E-1
2.816156604E1,5.803695321E-2,1.579529762E0,-8.594425768E-2
2.818628528E1,1.552428603E-1,2.270956039E0,-8.067556471E-2
2.821100451E1,1.534015238E-1,2.676629066E0,2.169623971E-3
2.823572375E1,9.717306495E-2,2.683204651E0,4.479538649E-2
2.826044299E1,-2.691979706E-2,2.259118080E0,7.471396774E-2
2.828519275E1,-1.238298416E-1,1.565181732E0,4.215204716E-2
2.830991198E1,-1.181511953E-1,7.058629990E-1,-8.668725193E-2
2.833466174E1,-9.699580073E-2,-3.242120743E-1,-8.867397904E-3
2.835938098E1,-1.260358095E-2,-1.216538429E0,-4.683345556E-2
2.838410022E1,8.313541114E-2,-1.963786125E0,3.507333994E-2
2.840881946E1,1.535871178E-1,-2.442845345E0,7.664270699E-2
2.843353869E1,1.808741242E-1,-2.588526726E0,5.845247209E-2
2.845828845E1,1.719586849E-1,-2.390867233E0,1.487976462E-1
2.848300769E1,1.449601203E-1,-1.861422539E0,1.698642373E-1
2.850772692E1,1.187217385E-1,-1.061787605E0,1.786921918E-1
2.853244616E1,5.266609788E-2,-1.714773178E-1,1.509138197E-1
2.855716540E1,1.284396648E-2,7.847213745E-1,9.401836991E-2
2.858188464E1,5.109603703E-2,1.630769730E0,-4.983872175E-3
2.860663440E1,1.397038102E-1,2.247829437E0,-7.404536009E-2
2.863135363E1,2.653734386E-1,2.571594238E0,-7.275354862E-2
2.865607287E1,3.504687250E-1,2.488628387E0,3.047144413E-2
2.868079211E1,4.246334136E-1,2.045958519E0,9.350894392E-2
2.870554187E1,3.495323062E-1,1.360680580E0,1.624613702E-1
2.873026110E1,2.861995697E-1,4.594249725E-1,1.226511002E-1
2.875498034E1,1.284570843E-1,-4.990367889E-1,1.145752594E-1
2.877969958E1,1.902187057E-2,-1.425204277E0,1.312946528E-2
